| Μάθημα                                                                         | Κωδικός | Περιγραφή                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | Διδάσκοντες                                                                                           | Εξάμηνο | Περίοδος  | ECTS | ΔΜ | Ώρες | Κατεύθυνση                                                         | Τύπος μαθήματος                                                                              | Κατηγορία                                                  | Ομάδα          | Γονέας | Ενέργειες |
| ΑΝΑΓΝΩΡΙΣΗ ΠΡΟΤΥΠΩΝ                                                            | 3208    | Στατιστική αναγνώριση προτύπων με εφαρμογές σε αναγνώριση ήχων, οπτικών αντικειμένων, οπτικοακουστικών γεγονότων και άλλων χωρο-χρονικών αισθητηριακών ή συμβολικών δεδομένων. Το μάθημα εστιάζει σε επεξεργασία ακουστικών σημάτων & φωνής, επεξεργασία φυσικής γλώσσας, όραση υπολογιστών, και επεξεργασία πολυτροπικών σημάτων, με έμφαση σε θεωρία εκτίμησης και εκμάθησης ακολουθιών. Αναλυτικά: Επανάληψη θεμάτων μηχανικής μάθησης. Προχωρημένα θέματα εκτίμησης παραμέτρων: μεγιστοποίηση ύστερης πιθανότητας (maximum a posteriori), Μπεϋζιανή εκμάθηση (Bayesian learning), μεγιστοποίηση προσδοκώμενης πιθανοφάνειας (expectation maximization), εκμάθηση χωρίς επίβλεψη (unsupervised learning). Προχωρημένα θέματα βελτιστοποίησης και εμβάθυνση σε SVMs. Προχωρημένα θέματα επιλογής χαρακτηριστικών (feature selection) και μετασχηματισμού χαρακτηριστικών: Independent Component Analysis (ICA), Non-negative Matrix Factorization (NMF), Latent Semantic Analysis (LSA). Πιθανοτικά γραφικά μοντέλα: μοντέλα Markov, κρυφά μοντέλα Markov (HMMs), Conditional Random Fields (CRFs), Markov Random Fields (MRFs), αλγόριθμοι inference. Επανάληψη θεμάτων βαθιάς μηχανικής μάθησης (DNNs, CNNs). Νευρωνικά μοντέλα για ακολουθίες: RNNs, gating (LSTMs, GRUs), encoder-decoders, attention, transformers, auto-encoders, deep generative models, GANs, graph NNs. Structured probabilistic models, μέθοδος Monte Carlo, προσεγγιστική εκμάθηση (approximate inference), εκτίμηση partition function. Neuro-symbolic NNs, memory models, cognitive architectures. Προχωρημένα θέματα ενισχυτικής μάθησης (reinforcement learning): value-based, policy gradient, actor-critic. Γεωμετρία της γνώσης: εισαγωγή σε μετρικούς και τοπολογικούς χώρους, Riemannian manifolds, Poincare embeddings. Αναλυτικές και Εργαστηριακές ασκήσεις.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | Α. Ποταμιάνος                                                                                         | Ένατο   | Χειμερινή | 4    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Επιλογής κατεύθυνσης                                                     | Ελεύθερα, Επιλογή                                          | Σ, ΣΜ          | -      |           |
| ΠΡΟΣΤΑΣ.ΣΥΣΤΗΜ.ΗΛΕΚΤΡ.ΕΝΕΡΓΕΙΑΣ                                                | 3224    | Βασικές αρχές της προστασίας συστημάτων ηλεκτρικής ενέργειας από βραχυκυκλώματα φάσεων (τριφασικά, διφασικά χωρίς γη) και γης (διφασικά και μονοφασικά προς γη). Αρχές λειτουργίας και τύποι ηλεκτρονόμων. Ηλεκτρονόμοι υπερέντασης, διαφορικοί, απόστασης, κατεύθυνσης. Προστασία μετασχηματιστών και ηλεκτρικών μηχανών (γεννητριών και κινητήρων). Προστασία γραμμών, μετασχηματιστών, ζυγών, πηνίων και πυκνωτών. Προσαρμοστική προστασία δικτύων διανομής με διεσπαρμένη παραγωγή. Βασικές αρχές λειτουργίας ψηφιακών ηλεκτρονόμων. Μελέτες προστασίας με προγράμματα Η/Υ. Εργαστηριακές εφαρμογές ψηφιακών ηλεκτρονόμων.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | Γ. Κορρές                                                                                             | Ένατο   | Χειμερινή | 4    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Επιλογής κατεύθυνσης                                                     | Ελεύθερα, Επιλογή                                          | Ε, ΕΜ          | -      |           |
| ΑΥΤΟΜΑΤΟΣ ΕΛΕΓΧΟΣ ΚΑΙ ΕΥΣΤΑΘΕΙΑ Σ.Η.Ε.                                         | 3227    | Μοντέλα ΑΗΣ: Λέβητες, διατάξεις ελέγχου λεβήτων, στρόβιλοι, βαθμίδες στροβίλων. Μοντέλα ΥΗΣ παραγωγής: Κυματικά φαινόμενα στον αγωγό προσαγωγής, υδραυλικό πλήγμα, ηλεκτρικά ανάλογα. Δυναμικά μοντέλα και διατάξεις ελέγχου σύγχρονων γεννητριών. Ρυθμιστές στροφών. Ρύθμιση φορτίου συχνότητας: σφάλμα ελέγχου περιοχής, συνεχής και διακριτός έλεγχος, έλεγχος συχνότητας και διασυνδετικής ροής. Είδη διεγερτριών. Αυτόματοι ρυθμιστές τάσεως. Εισαγωγή στην ευστάθεια μη γραμμικών συστημάτων: Ευστάθεια μονίμου καταστάσεως (μικρών διαταραχών) και μεταβατική ευστάθεια. Ευστάθεια μικρών διαταραχών σύγχρονης μηχανής. Ηλεκτρομηχανικές ταλαντώσεις – Εργαστήριο. Επίδραση της ρύθμισης τάσεως. Σταθεροποιητές - Σχεδίαση. Μεταβατική ευστάθεια. Προσδιορισμός κρίσιμων γωνιών και χρόνου εκκαθάρισης. Άμεσες και έμμεσες μέθοδοι. Ενεργειακές συναρτήσεις. Εφαρμογές στο Simulink.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | Β. Νικολαΐδης , Ν. Κιμουλάκης (Ε.ΔΙ.Π.)                                                               | Ένατο   | Χειμερινή | 4    | 0  | 3    | -                                                                  | Ελεύθερης επιλογής, Επιλογής κατεύθυνσης                                                     | Ελεύθερα, Επιλογή                                          | Ε, ΕΜ          | -      |           |
| ΝΕΑ ΤΕΧΝΟΛΟΓΙΚΑ ΥΛΙΚΑ                                                          | 3234    | Εισαγωγή. Κεραμικά: Φυσικοχημικές ιδιότητες και μέθοδοι παρασκευής κεραμικών. Μονωτικά, Ημιαγώγιμα και Υπεραγώγιμα κεραμικά, Κεραμικά ιοντικής αγωγιμότητας. Άμορφα κεραμικά, Ύαλοι. Νανοκεραμικά και πορώδη κεραμικά, Προηγμένα κεραμικά. Διηλεκτρικά: Ηλεκτρομονωτικά υλικά, Διηλεκτρικά υλικά πυκνωτών. Διηλεκτρικά υλικά μικροηλεκτρονικής. Ενεργά διηλεκτρικά – Σιδηροηλεκτρικά, Πιεζοηλεκτρικά και Πυροηλεκτρικά διηλεκτρικά, Ηλεκτρίτες. Φωτοβόλταϊκά υλικά. Ηλεκτρολύτες στερεάς κατάστασης. Υγροί κρύσταλλοι.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Ι. Ζεργιώτη, Α. Κυρίτσης                                                                              | Ένατο   | Χειμερινή | 4    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής                                                                           | Ελεύθερα                                                   | -              | -      |           |
| ΟΙΚΟΝΟΜΙΚΗ ΚΑΙ ΑΞΙΟΠΙΣΤΗ ΛΕΙΤΟΥΡΓΙΑ Σ.Η.Ε.                                     | 3235    | Εισαγωγή. Βασική Μαρκοβιανή μεθοδολογία, Βασικές μέθοδοι υπολογισμού. Μεθοδολογία της ανάλυσης των ενδεχομένων βλάβης. Μοντελοποίηση των μεταβολών των καιρικών συνθηκών, Επίδραση της προληπτικής συντήρησης στους δείκτες αξιοπιστίας των ζυγών. Παροδικές και μεταβατικές βλάβες. Βλάβες κοινής αιτίας. Μοντελοποίηση των λειτουργικών διαδικασιών απομόνωσης των βλαβών. Κριτήριο της Ολικής Απώλειας της Συνεχείας. Κριτήριο της Μερικής Απώλειας της Συνεχείας. Αξιοπιστία λειτουργίας συνδυασμένου συστήματος παραγωγής και μεταφοράς Ηλεκτρικής Ενέργειας. Ανάλυση της λειτουργικής απόδοσης και αξιοπιστίας λειτουργίας των συστημάτων παραγωγής ηλεκτρικής ενέργειας με εγκαταστάσεις ανανεώσιμων πηγών ενέργειας και αντλησιοταμίευσης.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Α. Παπαβασιλείου                                                                                      | Ένατο   | Χειμερινή | 4    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Επιλογής κατεύθυνσης                                                     | Ελεύθερα, Επιλογή                                          | Ε, ΕΜ          | -      |           |
| ΑΝΑΝΕΩΣΙΜΕΣ ΠΗΓΕΣ ΕΝΕΡΓΕΙΑΣ                                                    | 3244    | Εισαγωγή περί ΑΠΕ: Παρούσα κατάσταση. Προοπτικές. Θεσμικό πλαίσιο – Διεσπαρμένη παραγωγή – Χαρακτηριστικά του ανέμου. Στοιχεία αεροδυναμικής. Έλεγχος stall και pitch. Λειτουργία σταθερών και μεταβλητών στροφών. Καμπύλη ισχύος – Διαμόρφωση ηλεκτρικού μέρους, γεννήτριες και μετατροπείς ισχύος, έλεγχος. Εσωτερικά ηλεκτρικά δίκτυα πάρκων – Σύνδεση στο Δίκτυο: Διασύνδεση σε ΥΤ, ΜΤ και ΧΤ. Τεχνικές προϋποθέσεις. Μεθοδολογίες ανάλυσης – Ενεργειακή απόδοση: Γενικός υπολογισμός. Μεθοδολογία για νησιωτικά συστήματα – Φωτοβολταϊκά: Τεχνολογία, ισοδύναμο κύκλωμα, χαρακτηριστικές, έλεγχος. Μετατροπείς ισχύος. Φ/Β σταθμοί – Ηλιοθερμικοί σταθμοί: Αρχές λειτουργίας, βασικές τεχνολογίες – Αξιολόγηση επενδύσεων ΑΠΕ – Αποθήκευση ενέργειας και υβριδικοί σταθμοί – Αυτόνομα συστήματα και μικροδίκτυα.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | Σ. Παπαθανασίου                                                                                       | Ένατο   | Χειμερινή | 4    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Επιλογής κατεύθυνσης                                                     | Ελεύθερα, Επιλογή                                          | Ε, ΕΜ          | -      |           |
| ΕΓΚΑΤΑΣΤΑΣΗ,ΔΙΑΧΕΙΡ. & ΠΟΙΟΤ.ΕΛ.ΙΑΤΡ.& ΝΟΣΟΚΟΜΕΙΑΚΩΝ ΣΥΣΤΗΜ.                   | 3245    | Κατ’ επιλογήν υποχρεωτικό, 2-2 Κανονισμοί και Πρότυπα για νοσοκομεία. Ηλεκτρική τροφοδοσία νοσοκομείου (υποσταθμός μέσης τάσης, ηλεκτροπαραγωγό ζεύγος και συστήματα αδιάλειπτης παροχής ισχύος). Ηλεκτρικές εγκαταστάσεις. Πίνακες Νοσοκομειακών Φορτίων. Μελέτη εγκαταστάσεων φωτισμού νοσοκομειακών χώρων. Ειδικές γειώσεις νοσοκομειακών χώρων. Ειδικές εγκαταστάσεις ιατρικών μηχανημάτων υψηλής τεχνολογίας, εγκαταστάσεις εκφορτίσεων χειρουργείων και χώρων επείγουσας ιατρικής. Κίνδυνοι ηλεκτροπληξίας – Προστασία από ηλεκτροπληξία. Εξάλειψη κινδύνων ηλεκτροστατικών εκφορτίσεων σε ειδικούς νοσοκομειακούς χώρους (χειρουργεία, Μ.Ε.Θ. κ.λπ.). Μελέτη αντιβακτηριακού κλιματισμού. Μελέτη κεντρικών εγκαταστάσεων ιατρικών αερίων και κενού. Απολύμανση και αποστείρωση σε Νοσοκομεία. Ακτινοπροστασία εργαστηρίων. Σύντομη αναφορά στις μηχανολογικές εγκαταστάσεις Νοσοκομείων (ατμός, ύδρευση-αποχέτευση, πλυντήρια, μαγειρεία). Συστήματα διαχείρισης της βιοϊατρικής τεχνολογίας. Ποιοτικός έλεγχος. Μετρήσεις και δοκιμές σε νοσοκομειακές εγκαταστάσεις.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | Ι. Γκόνος, Α. Πολυκράτη (Ε.ΔΙ.Π.)                                                                     | Ένατο   | Χειμερινή | 4    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Επιλογής κατεύθυνσης                                                     | Ελεύθερα, Επιλογή                                          | Ι, ΙΜ          | -      |           |
| ΔΙΑΧΕΙΡΙΣΗ ΔΙΚΤΥΩΝ-ΕΥΦΥΗ ΔΙΚΤΥΑ                                                | 3251    | Το μάθημα εισάγει τον σπουδαστή στις αρχιτεκτονικές Διαχείρισης Δικτύων (Network Management). Οι παραδόσεις πλαισιώνονται από Διδακτικές Σημειώσεις, Εργαστηριακές Ασκήσεις και αποθηκευμένο Ηλεκτρονικό Υλικό On-Line (συγχρονισμός video και διαφανειών) μέσω του δικτυακού τόπου www.netmode.ntua.gr. Η ύλη περιλαμβάνει: • Το πρότυπο αναφοράς Διαχειριστικών Λειτουργιών: Διαχείριση Βλαβών, Διάρθρωσης, Λογιστικής, Επιδόσεων και Ασφαλείας. • Διαχείριση δικτύων Internet/Intranet με το πρωτόκολλα SNMP και σύγχρονες κατευθύνσεις σε οπτικά δίκτυα κορμού, πρόσβασης και τοπικά δίκτυα (LAN). Αναφορά στο τοπικό δίκτυο του Ε.Μ.Π., το Εθνικό Δίκτυο Έρευνας & Τεχνολογίας (ΕΔΕΤ/GRNET) και το Πανευρωπαϊκό Ακαδημαϊκό – Ερευνητικό Δίκτυο GÉANT. • Παγκόσμια διάρθρωση του Internet, διασύνδεση παρόχων υπηρεσιών Internet. • Διαχείριση πρωτοκόλλων Ethernet και εικονικών τοπικών δικτύων (VLAN). • Διαχείριση ασφαλείας: Ψηφιακά πιστοποιητικά, υποδομές δημοσίου κλειδιού (PKI), υποδομές ταυτοποίησης και εξουσιοδότησης (ΑΑΙ), ανίχνευση επιθέσεων &ανωμαλιών. • Ευφυή δίκτυα οριζόμενα από Λογισμικό (Software Defined Networks - SDN), αρχιτεκτονικές ελέγχου OpenFlow. Οι σπουδαστές ασκούνται στο τοπικό δίκτυο του Ε.Μ.Π. και στα διεθνή δίκτυα GENI & GÉANT μέσω του PCLab της Σχολής.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | Β. Μάγκλαρης, Μ. Γραμματικού (Ε.ΔΙ.Π.)                                                      103       | Ένατο   | Χειμερινή | 4    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Επιλογής κατεύθυνσης                                                     | Ελεύθερα, Επιλογή                                          | Δ, ΔΜ          | -      |           |
| ΣΥΣΤΗΜΑΤΑ ΑΞΙΟΛ. ΚΑΙ ΔΙΑΧ. ΕΡΓΩΝ                                               | 3255    | Ο σκοπός του μαθήματος είναι η απόκτηση γνώσης για τις σύγχρονες τεχνικές και μεθόδους διοίκησης και διαχείρισης έργων (project organization, project management). Με τη χρήση πραγματικών περιπτώσεων (case studies), παρουσιάζονται οι βασικές διαδικασίες διοίκησης έργων με στόχο τη βελτίωση των ικανοτήτων των σπουδαστών στη συστηματική αντιμετώπιση των προβλημάτων που εμφανίζονται κατά τη διάρκεια καθορισμού και σχεδιασμού ενός έργου (project initiation and design), στελέχωσης του έργου (project staffing), οργάνωσης του έργου (project organization), χρονικού και οικονομικού προγραμματισμού (time scheduling and cost management), καθώς και της αξιολόγησης των αποτελεσμάτων ενός έργου (project evaluation). Εξετάζονται οι μέθοδοι CPM, PERT, CPM-Cost και RPS και παρουσιάζονται τα πληροφοριακά συστήματα διαχείρισης έργων.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | Γ. Μέντζας, Ξ. Παπαδομιχελάκη (Ε.ΔΙ.Π.)                                                               | Ένατο   | Χειμερινή | 4    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Επιλογής κατεύθυνσης                                                     | Ελεύθερα, Επιλογή                                          | Ο, ΟΜ          | -      |           |
| ΣΥΣΤΗΜΑΤΑ ΠΑΡΑΛΛΗΛΗΣ ΕΠΕΞΕΡΓΑΣΙΑΣ                                              | 3257    | Εισαγωγή στην παράλληλη επεξεργασία. Αρχιτεκτονικές μοιραζόμενης και κατανεμημένης μνήμης (μηχανές συμμετρικής πολυεπεξεργασίας-SMPs, COMA, NUMA, CC-NUMA, Clusters, συστήματα πολυ-υπολογισμού- MPPs). Μέθοδοι, τεχνικές και δίκτυα διασύνδεσης (Bus-oriented, Cube, Switch Network, Mixed systems). Συστοιχίες Υπολογιστών (Clusters) ως υπερυπολογιστικά συστήματα. Αρχές παράλληλου προγραμματισμού. Σχεδιασμός και υλοποίηση παράλληλων προγραμμάτων. Τεχνικές παραλληλοποίησης, διαμέρισης υπολογισμών. Προγραμματιστικά μοντέλα ανταλλαγής μηνυμάτων και κοινού χώρου διευθύνσεων. Συγχρονισμός και ταυτόχρονη πρόσβαση σε δομές δεδομένων. Ανάπτυξη εφαρμογών παράλληλης επεξεργασίας στο εργαστήριο σε αρχιτεκτονικές με πολλαπλούς πυρήνες και επιταχυντές με χρήση OpenMP, MPI, CUDA, Cilk, κ.ά.. Αξιολόγηση επίδοσης.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | Γ. Γκούμας, Ν. Κοζύρης, Δ. Πνευματικάτος, Κ. Νίκας (Ε.ΔΙ.Π.)                                          | Ένατο   | Χειμερινή | 4    | 0  | 3    | -                                                                  | Ελεύθερης επιλογής, Επιλογής κατεύθυνσης                                                     | Ελεύθερα, Επιλογή                                          | Υ, ΥΜ          | -      |           |
